idx,name_ko,recommendation
33,케이프타운 엔비보 롱고,"[{'id': 63, 'title': '마이애미'}, {'id': 122, 'title': '멕시코'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 69, 'title': '노베첸토'}, {'id': 53, 'title': '일 카페'}, {'id': 54, 'title': '인디아'}, {'id': 6, 'title': '다르칸'}]"
34,카프리치오,"[{'id': 15, 'title': '인피니트 후루티 라즈베리'}, {'id': 16, 'title': '인피니트 고메 헤이즐넛'}, {'id': 77, 'title': '로마'}, {'id': 41, 'title': '콜롬비아'}, {'id': 72, 'title': '페루 오가닉'}, {'id': 96, 'title': '아론디오'}, {'id': 78, 'title': '스쿠로'}, {'id': 68, 'title': '노치올라'}, {'id': 86, 'title': '바닐라'}, {'id': 38, 'title': '초콜라티노'}]"
35,카라멜 크레임 브륄레,"[{'id': 39, 'title': '코코아 트러플'}, {'id': 129, 'title': '펌킨 스파이스'}, {'id': 113, 'title': '헤이즐리노 머핀'}, {'id': 131, 'title': 'Roasted Hazelnut'}, {'id': 147, 'title': 'Forest Fruit Flavor'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 87, 'title': '바닐라 에클레어'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 110, 'title': '골든 캐러멜'}, {'id': 135, 'title': 'Sweet Vanilla'}]"
36,카라멜로,"[{'id': 68, 'title': '노치올라'}, {'id': 38, 'title': '초콜라티노'}, {'id': 86, 'title': '바닐라'}, {'id': 136, 'title': 'Toccanto'}, {'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}, {'id': 116, 'title': '이니지오'}, {'id': 43, 'title': '코지'}, {'id': 41, 'title': '콜롬비아'}, {'id': 72, 'title': '페루 오가닉'}]"
37,키아로,"[{'id': 97, 'title': '비앙코 도피오'}, {'id': 143, 'title': 'Bianco Leggero'}, {'id': 81, 'title': '타무카 무 짐바브웨'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 149, 'title': 'Infinitely Double Espresso'}, {'id': 51, 'title': '하와이 코나'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 123, 'title': '니카라과 라 쿰플리다'}]"
38,초콜라티노,"[{'id': 68, 'title': '노치올라'}, {'id': 36, 'title': '카라멜로'}, {'id': 86, 'title': '바닐라'}, {'id': 136, 'title': 'Toccanto'}, {'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}, {'id': 116, 'title': '이니지오'}, {'id': 43, 'title': '코지'}, {'id': 41, 'title': '콜롬비아'}, {'id': 72, 'title': '페루 오가닉'}]"
39,코코아 트러플,"[{'id': 129, 'title': '펌킨 스파이스'}, {'id': 113, 'title': '헤이즐리노 머핀'}, {'id': 131, 'title': 'Roasted Hazelnut'}, {'id': 147, 'title': 'Forest Fruit Flavor'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 87, 'title': '바닐라 에클레어'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 110, 'title': '골든 캐러멜'}, {'id': 135, 'title': 'Sweet Vanilla'}, {'id': 111, 'title': '하프-카페이나토'}]"
40,코코넛 플레이버 오버 아이스,"[{'id': 1, 'title': '아마레티'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}, {'id': 137, 'title': 'Tropical Coconut Flavor Over Ice'}]"
41,콜롬비아,"[{'id': 72, 'title': '페루 오가닉'}, {'id': 90, 'title': '볼루토'}, {'id': 43, 'title': '코지'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 136, 'title': 'Toccanto'}, {'id': 68, 'title': '노치올라'}, {'id': 86, 'title': '바닐라'}, {'id': 36, 'title': '카라멜로'}, {'id': 38, 'title': '초콜라티노'}, {'id': 19, 'title': '로사바야 데 콜롬비아'}]"
42,코르토,"[{'id': 98, 'title': '비앙코 포르테'}, {'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 96, 'title': '아론디오'}, {'id': 152, 'title': 'Ontuoso, Decaf'}, {'id': 142, 'title': 'Aflorazio'}, {'id': 145, 'title': 'Dolce'}, {'id': 146, 'title': 'Elvazio'}, {'id': 148, 'title': 'Giornio'}, {'id': 137, 'title': 'Tropical Coconut Flavor Over Ice'}]"
