idx,name_ko,recommendation
23,디카페인 비발토 롱고,"[{'id': 20, 'title': '토르타 디 노초올레'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 63, 'title': '마이애미'}, {'id': 124, 'title': '오다시오'}, {'id': 42, 'title': '코르토'}, {'id': 141, 'title': '위스키 에센스'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 81, 'title': '타무카 무 짐바브웨'}, {'id': 17, 'title': '리니시오 롱고'}]"
24,에이지드 수마트라,"[{'id': 20, 'title': '토르타 디 노초올레'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 92, 'title': '알티시오'}, {'id': 143, 'title': '비안코 레게로'}, {'id': 152, 'title': '디카페나토 온투오소'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 9, 'title': '포레스트 아몬드 플레이버'}, {'id': 88, 'title': '베네치아'}, {'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 39, 'title': '코코아 트러플'}]"
25,아마하 아웨 우간다,"[{'id': 5, 'title': '초콜라티노'}, {'id': 151, 'title': '디카페나토 인텐소'}, {'id': 26, 'title': '아르페지오'}, {'id': 62, 'title': '리반토'}, {'id': 17, 'title': '리니시오 롱고'}, {'id': 146, 'title': '엘바조'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 70, 'title': '파푸아뉴기니'}]"
26,아르페지오,"[{'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 113, 'title': '헤이즐리노 머핀'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 107, 'title': '포르타도'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 43, 'title': '코지'}]"
27,디카페인 아르페지오,"[{'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 88, 'title': '베네치아'}, {'id': 29, 'title': '부에노스 아이레스 롱고'}, {'id': 136, 'title': '토칸토'}, {'id': 90, 'title': '볼루토'}, {'id': 46, 'title': '필터 스타일 인텐스'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 140, 'title': '볼테소'}]"
28,브라질 오가닉,"[{'id': 105, 'title': '더블 에스프레소 돌체'}, {'id': 16, 'title': '인피니트 고메 헤이즐넛'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 144, 'title': '디카페나토'}, {'id': 42, 'title': '코르토'}, {'id': 133, 'title': '스토미오 부스트'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 66, 'title': '니카라과'}, {'id': 3, 'title': '카페 이스탄불'}, {'id': 56, 'title': '이스탄불 에스프레소'}]"
29,부에노스 아이레스 롱고,"[{'id': 10, 'title': '포레스트 블랙'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 51, 'title': '하와이 코나'}, {'id': 140, 'title': '볼테소'}, {'id': 86, 'title': '바닐라'}, {'id': 12, 'title': '포르티시오 롱고'}, {'id': 142, 'title': '아플로라지오'}, {'id': 94, 'title': '알토 암브라토'}, {'id': 27, 'title': '디카페인 아르페지오'}]"
30,까페시또 데 쿠바,"[{'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 143, 'title': '비안코 레게로'}, {'id': 107, 'title': '포르타도'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 135, 'title': '스위트 바닐라'}]"
31,까페시또 데 푸에르토리코,"[{'id': 107, 'title': '포르타도'}, {'id': 90, 'title': '볼루토'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 17, 'title': '리니시오 롱고'}, {'id': 69, 'title': '노베첸토'}, {'id': 35, 'title': '카라멜 크레임 브륄레'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 148, 'title': '지오르니오'}, {'id': 105, 'title': '더블 에스프레소 돌체'}]"
32,까페지뇨 두 브라질,"[{'id': 26, 'title': '아르페지오'}, {'id': 96, 'title': '아론디오'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 89, 'title': '비엔나 리니지오 롱고'}, {'id': 37, 'title': '키아로'}, {'id': 5, 'title': '초콜라티노'}, {'id': 148, 'title': '지오르니오'}, {'id': 107, 'title': '포르타도'}, {'id': 43, 'title': '코지'}]"
33,케이프타운 엔비보 롱고,"[{'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 3, 'title': '카페 이스탄불'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 104, 'title': '더블 에스프레소 챠로'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 26, 'title': '아르페지오'}, {'id': 53, 'title': '일 카페'}, {'id': 136, 'title': '토칸토'}]"
34,카프리치오,"[{'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 130, 'title': '리치 초콜렛'}, {'id': 46, 'title': '필터 스타일 인텐스'}, {'id': 38, 'title': '초콜라티노'}, {'id': 107, 'title': '포르타도'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 36, 'title': '카라멜로'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 88, 'title': '베네치아'}, {'id': 110, 'title': '골든 캐러멜'}]"
35,카라멜 크레임 브륄레,"[{'id': 108, 'title': '디카페인 포르타도'}, {'id': 75, 'title': '리스트레또'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 97, 'title': '비앙코 도피오'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 37, 'title': '키아로'}, {'id': 124, 'title': '오다시오'}]"
36,카라멜로,"[{'id': 14, 'title': '인피니트 에스프레소'}, {'id': 111, 'title': '하프-카페이나토'}, {'id': 117, 'title': '인텐소 (커피)'}, {'id': 34, 'title': '카프리치오'}, {'id': 63, 'title': '마이애미'}, {'id': 93, 'title': '디카페인 알티시오'}, {'id': 140, 'title': '볼테소'}, {'id': 52, 'title': '온두로스'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 90, 'title': '볼루토'}]"
37,키아로,"[{'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 149, 'title': '인피니티 더블 에스프레소'}, {'id': 92, 'title': '알티시오'}, {'id': 107, 'title': '포르타도'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 120, 'title': '멜로지오 부스트'}, {'id': 51, 'title': '하와이 코나'}, {'id': 16, 'title': '인피니트 고메 헤이즐넛'}]"
38,초콜라티노,"[{'id': 18, 'title': '파리 블랙'}, {'id': 4, 'title': '카라멜리또'}, {'id': 134, 'title': '솔레리오'}, {'id': 34, 'title': '카프리치오'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 13, 'title': '인드리야'}, {'id': 87, 'title': '바닐라 에클레어'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 37, 'title': '키아로'}, {'id': 36, 'title': '카라멜로'}]"
39,코코아 트러플,"[{'id': 97, 'title': '비앙코 도피오'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 122, 'title': '멕시코'}, {'id': 98, 'title': '비앙코 포르테'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 62, 'title': '리반토'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 19, 'title': '로사바야 데 콜롬비아'}]"
40,코코넛 플레이버 오버 아이스,"[{'id': 55, 'title': '인도네시아'}, {'id': 103, 'title': '디아볼리토'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 66, 'title': '니카라과'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 120, 'title': '멜로지오 부스트'}, {'id': 97, 'title': '비앙코 도피오'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 39, 'title': '코코아 트러플'}]"
41,콜롬비아,"[{'id': 149, 'title': '인피니티 더블 에스프레소'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 21, 'title': '바닐리오'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 47, 'title': '필터 스타일 밀드'}, {'id': 36, 'title': '카라멜로'}, {'id': 53, 'title': '일 카페'}, {'id': 96, 'title': '아론디오'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}]"
42,코르토,"[{'id': 70, 'title': '파푸아뉴기니'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 28, 'title': '브라질 오가닉'}, {'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 142, 'title': '아플로라지오'}, {'id': 88, 'title': '베네치아'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 63, 'title': '마이애미'}]"
43,코지,"[{'id': 122, 'title': '멕시코'}, {'id': 149, 'title': '인피니티 더블 에스프레소'}, {'id': 65, 'title': '밀레니오'}, {'id': 26, 'title': '아르페지오'}, {'id': 132, 'title': '스토미오'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 103, 'title': '디아볼리토'}, {'id': 93, 'title': '디카페인 알티시오'}, {'id': 32, 'title': '까페지뇨 두 브라질'}]"
44,에스페란사 데 콜롬비아,"[{'id': 51, 'title': '하와이 코나'}, {'id': 29, 'title': '부에노스 아이레스 롱고'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 143, 'title': '비안코 레게로'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 87, 'title': '바닐라 에클레어'}, {'id': 5, 'title': '초콜라티노'}]"
45,에티오피아,"[{'id': 95, 'title': '알토 오니체'}, {'id': 34, 'title': '카프리치오'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 111, 'title': '하프-카페이나토'}, {'id': 134, 'title': '솔레리오'}, {'id': 43, 'title': '코지'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 146, 'title': '엘바조'}, {'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 27, 'title': '디카페인 아르페지오'}]"
46,필터 스타일 인텐스,"[{'id': 34, 'title': '카프리치오'}, {'id': 101, 'title': '초콜릿 퍼지'}, {'id': 106, 'title': '더블 에스프레소 스쿠로'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 141, 'title': '위스키 에센스'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 134, 'title': '솔레리오'}, {'id': 88, 'title': '베네치아'}, {'id': 104, 'title': '더블 에스프레소 챠로'}, {'id': 78, 'title': '스쿠로'}]"
47,필터 스타일 밀드,"[{'id': 127, 'title': '푸어오버 스타일 인텐소'}, {'id': 41, 'title': '콜롬비아'}, {'id': 29, 'title': '부에노스 아이레스 롱고'}, {'id': 96, 'title': '아론디오'}, {'id': 88, 'title': '베네치아'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 84, 'title': '트리부트 투 트리에스테'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 17, 'title': '리니시오 롱고'}, {'id': 35, 'title': '카라멜 크레임 브륄레'}]"
48,프레도 델리카토,"[{'id': 11, 'title': '포레스트 프룻'}, {'id': 77, 'title': '로마'}, {'id': 149, 'title': '인피니티 더블 에스프레소'}, {'id': 103, 'title': '디아볼리토'}, {'id': 113, 'title': '헤이즐리노 머핀'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 148, 'title': '지오르니오'}, {'id': 92, 'title': '알티시오'}, {'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 76, 'title': '디카페인 리스트레또'}]"
49,프레도 인텐소,"[{'id': 108, 'title': '디카페인 포르타도'}, {'id': 141, 'title': '위스키 에센스'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 106, 'title': '더블 에스프레소 스쿠로'}, {'id': 30, 'title': '까페시또 데 쿠바'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 82, 'title': '도쿄 비발또 롱고'}, {'id': 88, 'title': '베네치아'}]"
50,갈라파고스 스페셜 리저브,"[{'id': 127, 'title': '푸어오버 스타일 인텐소'}, {'id': 110, 'title': '골든 캐러멜'}, {'id': 7, 'title': '브라질 둘세오'}, {'id': 103, 'title': '디아볼리토'}, {'id': 62, 'title': '리반토'}, {'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 69, 'title': '노베첸토'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 6, 'title': '다르칸'}]"
51,하와이 코나,"[{'id': 10, 'title': '포레스트 블랙'}, {'id': 67, 'title': '나폴리'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 15, 'title': '인피니트 후루티 라즈베리'}, {'id': 92, 'title': '알티시오'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 139, 'title': '비비다 B12'}, {'id': 58, 'title': '카하와야 콩고'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 29, 'title': '부에노스 아이레스 롱고'}]"
52,온두로스,"[{'id': 75, 'title': '리스트레또'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 62, 'title': '리반토'}, {'id': 1, 'title': '아마레티'}, {'id': 59, 'title': '카자아르'}, {'id': 15, 'title': '인피니트 후루티 라즈베리'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 111, 'title': '하프-카페이나토'}, {'id': 36, 'title': '카라멜로'}]"
