id,title,recommendation
31,콜롬비아 수프리모 후일라,"[{'id': 35, 'title': '브라질 세하도 NY2 FC'}, {'id': 34, 'title': '브라질 산토스 NY2 FC'}, {'id': 1, 'title': '에티오피아 예가체프 G2'}, {'id': 28, 'title': '에티오피아 예가체프 G2'}, {'id': 42, 'title': '콜롬비아 수프리모 메데인'}, {'id': 38, 'title': '에티오피아 예가체프 G2'}, {'id': 41, 'title': '탄자니아 킬리만자로 AA'}, {'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 29, 'title': '브라질 세하도 NY2 FC 17/18'}, {'id': 30, 'title': '과테말라 안티구아 SHB'}]"
32,케냐 AA FAQ,"[{'id': 30, 'title': '과테말라 안티구아 SHB'}, {'id': 18, 'title': '코스타리카 따라주 SHB'}, {'id': 37, 'title': '에티오피아 시다모 G4'}, {'id': 45, 'title': '인도네시아 만델링 G1'}, {'id': 5, 'title': '콜롬비아 수프리모'}, {'id': 2, 'title': '과테말라 안티구아'}, {'id': 41, 'title': '탄자니아 킬리만자로 AA'}, {'id': 46, 'title': '온두라스 SHB'}, {'id': 49, 'title': '콜롬비아 수프리모 마운틴 워터 디카페인'}, {'id': 51, 'title': '에티오피아 예가체프 마운틴 워터 디카페인'}]"
33,베트남 로부스타,"[{'id': 23, 'title': '베트남 로부스타 G1'}, {'id': 1, 'title': '에티오피아 예가체프 G2'}, {'id': 28, 'title': '에티오피아 예가체프 G2'}, {'id': 30, 'title': '과테말라 안티구아 SHB'}, {'id': 31, 'title': '콜롬비아 수프리모 후일라'}, {'id': 32, 'title': '케냐 AA FAQ'}, {'id': 34, 'title': '브라질 산토스 NY2 FC'}, {'id': 35, 'title': '브라질 세하도 NY2 FC'}, {'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 37, 'title': '에티오피아 시다모 G4'}]"
34,브라질 산토스 NY2 FC,"[{'id': 52, 'title': '브라질 산토스 마운틴 워터 디카페인'}, {'id': 35, 'title': '브라질 세하도 NY2 FC'}, {'id': 5, 'title': '콜롬비아 수프리모'}, {'id': 50, 'title': '과테말라 안티구아 마운틴 워터 디카페인'}, {'id': 31, 'title': '콜롬비아 수프리모 후일라'}, {'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 22, 'title': '인도네시아 만델링 G1'}, {'id': 29, 'title': '브라질 세하도 NY2 FC 17/18'}, {'id': 40, 'title': '과테말라 안티구아 SHB'}, {'id': 1, 'title': '에티오피아 예가체프 G2'}]"
35,브라질 세하도 NY2 FC,"[{'id': 34, 'title': '브라질 산토스 NY2 FC'}, {'id': 15, 'title': '과테말라 SHB 디카페인'}, {'id': 31, 'title': '콜롬비아 수프리모 후일라'}, {'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 22, 'title': '인도네시아 만델링 G1'}, {'id': 8, 'title': '케냐 피베리 FAQ'}, {'id': 51, 'title': '에티오피아 예가체프 마운틴 워터 디카페인'}, {'id': 40, 'title': '과테말라 안티구아 SHB'}, {'id': 1, 'title': '에티오피아 예가체프 G2'}, {'id': 28, 'title': '에티오피아 예가체프 G2'}]"
36,에티오피아 시다모 G2,"[{'id': 37, 'title': '에티오피아 시다모 G4'}, {'id': 1, 'title': '에티오피아 예가체프 G2'}, {'id': 39, 'title': '에티오피아 예가체프 G4'}, {'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 14, 'title': '에티오피아 시다모 봄베 워시드'}, {'id': 7, 'title': '브라질 세하도 파인컵 NY2'}, {'id': 47, 'title': '엘 살바도르 팬시'}, {'id': 28, 'title': '에티오피아 예가체프 G2'}, {'id': 38, 'title': '에티오피아 예가체프 G2'}, {'id': 50, 'title': '과테말라 안티구아 마운틴 워터 디카페인'}]"
37,에티오피아 시다모 G4,"[{'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 1, 'title': '에티오피아 예가체프 G2'}, {'id': 32, 'title': '케냐 AA FAQ'}, {'id': 30, 'title': '과테말라 안티구아 SHB'}, {'id': 39, 'title': '에티오피아 예가체프 G4'}, {'id': 29, 'title': '브라질 세하도 NY2 FC 17/18'}, {'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 14, 'title': '에티오피아 시다모 봄베 워시드'}, {'id': 40, 'title': '과테말라 안티구아 SHB'}, {'id': 28, 'title': '에티오피아 예가체프 G2'}]"
38,에티오피아 예가체프 G2,"[{'id': 1, 'title': '에티오피아 예가체프 G2'}, {'id': 24, 'title': '에티오피아 시다모 G2'}, {'id': 28, 'title': '에티오피아 예가체프 G2'}, {'id': 39, 'title': '에티오피아 예가체프 G4'}, {'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 35, 'title': '브라질 세하도 NY2 FC'}, {'id': 31, 'title': '콜롬비아 수프리모 후일라'}, {'id': 14, 'title': '에티오피아 시다모 봄베 워시드'}, {'id': 51, 'title': '에티오피아 예가체프 마운틴 워터 디카페인'}, {'id': 37, 'title': '에티오피아 시다모 G4'}]"
39,에티오피아 예가체프 G4,"[{'id': 28, 'title': '에티오피아 예가체프 G2'}, {'id': 41, 'title': '탄자니아 킬리만자로 AA'}, {'id': 37, 'title': '에티오피아 시다모 G4'}, {'id': 24, 'title': '에티오피아 시다모 G2'}, {'id': 46, 'title': '온두라스 SHB'}, {'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 1, 'title': '에티오피아 예가체프 G2'}, {'id': 51, 'title': '에티오피아 예가체프 마운틴 워터 디카페인'}, {'id': 38, 'title': '에티오피아 예가체프 G2'}, {'id': 43, 'title': '코스타리카 따라주 SHB'}]"
40,과테말라 안티구아 SHB,"[{'id': 50, 'title': '과테말라 안티구아 마운틴 워터 디카페인'}, {'id': 2, 'title': '과테말라 안티구아'}, {'id': 52, 'title': '브라질 산토스 마운틴 워터 디카페인'}, {'id': 30, 'title': '과테말라 안티구아 SHB'}, {'id': 29, 'title': '브라질 세하도 NY2 FC 17/18'}, {'id': 35, 'title': '브라질 세하도 NY2 FC'}, {'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 37, 'title': '에티오피아 시다모 G4'}, {'id': 22, 'title': '인도네시아 만델링 G1'}, {'id': 45, 'title': '인도네시아 만델링 G1'}]"
