idx,name_ko,recommendation
80,스톡홀름 포티시오 롱고,"[{'id': 64, 'title': '밀라노 인텐소'}, {'id': 12, 'title': '포르티시오 롱고'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}]"
81,타무카 무 짐바브웨,"[{'id': 19, 'title': '로사바야 데 콜롬비아'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 70, 'title': '파푸아뉴기니'}]"
82,도쿄 비발또 롱고,"[{'id': 139, 'title': '비비다 B12'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 120, 'title': '멜로지오 부스트'}, {'id': 119, 'title': '멜로지오'}, {'id': 94, 'title': '알토 암브라토'}]"
83,트리부트 투 밀라노,"[{'id': 88, 'title': '베네치아'}, {'id': 103, 'title': '디아볼리토'}, {'id': 33, 'title': '케이프타운 엔비보 롱고'}, {'id': 69, 'title': '노베첸토'}, {'id': 63, 'title': '마이애미'}]"
84,트리부트 투 트리에스테,"[{'id': 104, 'title': '더블 에스프레소 챠로'}, {'id': 117, 'title': '인텐소 (커피)'}, {'id': 125, 'title': '오라푸리오'}, {'id': 30, 'title': '까페시또 데 쿠바'}, {'id': 52, 'title': '온두로스'}]"
85,우무티마와 호수 키부 르완다,"[{'id': 116, 'title': '이니지오'}, {'id': 86, 'title': '바닐라'}, {'id': 36, 'title': '카라멜로'}, {'id': 136, 'title': '토칸토'}, {'id': 38, 'title': '초콜라티노'}]"
86,바닐라,"[{'id': 136, 'title': '토칸토'}, {'id': 68, 'title': '노치올라'}, {'id': 38, 'title': '초콜라티노'}, {'id': 36, 'title': '카라멜로'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}]"
87,바닐라 에클레어,"[{'id': 110, 'title': '골든 캐러멜'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 111, 'title': '하프-카페이나토'}]"
88,베네치아,"[{'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 63, 'title': '마이애미'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 69, 'title': '노베첸토'}]"
89,비엔나 리니지오 롱고,"[{'id': 28, 'title': '브라질 오가닉'}, {'id': 94, 'title': '알토 암브라토'}, {'id': 104, 'title': '더블 에스프레소 챠로'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 122, 'title': '멕시코'}]"
